Course Code,Department,Course Name,Study Hours per Week,Average GPA Received,Average Letter Grade Received
AAS 10,AAS,Intro/African-American Studies,3.933636363636363,3.6763636363636363,B+ (3.3)
AAS 11,AAS,Intro Black Diasporic Studies,4.15,3.71,A- (3.7)
AAS 170,AAS,Legacies of Research,3.0549999999999997,3.8,A- (3.7)
AAS 190,AAS,Sp Topics/Af-Am Studies,2.0975,4.0,A+/A (4.0)
ANAR 100,ANAR,Spec Topics/Anth Archaeology,6.008235294117647,3.72,A- (3.7)
ANAR 111,ANAR,Anthropological Archaeology,4.32,3.311666666666667,B+ (3.3)
ANAR 114,ANAR,Environmental Hazards - Israel,4.72,3.76,A- (3.7)
ANAR 115,ANAR,Coastal Geomorphology/Environ,6.665,3.07,B (3.0)
ANAR 116,ANAR,Sea Level Change - Israel,3.3,3.4850000000000003,B+ (3.3)
ANAR 125,ANAR,Weapons/Warfare/Anct N. East,3.4,3.59,B+ (3.3)
ANAR 135,ANAR,Ancient Mediterranean Civ,4.885,3.995,A- (3.7)
ANAR 135S,ANAR,Ancient Mediterranean Civ,4.3,4.0,A+/A (4.0)
ANAR 142,ANAR,Rise & Fall of Ancient Israel,3.88,3.33,B+ (3.3)
ANAR 143,ANAR,Archeology Anthr & the Bible,4.493333333333333,3.41,B+ (3.3)
ANAR 143,ANAR,Biblical Arch- Fact or Fiction,3.5866666666666673,3.59,B+ (3.3)
ANAR 144,ANAR,PharaohsMummies:Intro Egyptly,4.095000000000001,2.985,B- (2.7)
ANAR 146,ANAR,Feeding the World,5.236666666666667,3.5700000000000003,B+ (3.3)
ANAR 153,ANAR,The Mysterious Maya,4.575,2.9916666666666667,B- (2.7)
ANAR 154,ANAR,The Aztecs & Their Ancestors,3.7939999999999996,3.0620000000000003,B (3.0)
ANAR 155,ANAR,Stdy Abrd: Ancient Mesoamerica,4.233333333333333,3.99,A- (3.7)
ANAR 155S,ANAR,Stdy Abrd: Ancient Mesoamerica,8.386,4.0,A+/A (4.0)
ANAR 156,ANAR,Archaeology of South America,4.37625,3.4442857142857144,B+ (3.3)
ANAR 158,ANAR,The Inca: Empire of the Andes,3.76,3.4675000000000002,B+ (3.3)
ANAR 159,ANAR,Societies/CaribbeanArchipelago,5.725,3.25,B (3.0)
ANAR 164,ANAR,Maritime Archaeology,6.126666666666666,3.12,B (3.0)
ANAR 164,ANAR,Underwater Archaeology,3.42,3.5566666666666666,B+ (3.3)
ANAR 166,ANAR,Environmental Archaeology,5.125,3.54,B+ (3.3)
ANAR 182,ANAR,Origin/Agriculture & Sedentism,4.826666666666667,3.31,B+ (3.3)
ANAR 184,ANAR,Political Economy/Early Empire,4.5649999999999995,3.6900000000000004,B+ (3.3)
ANBI 100,ANBI,Spec Topics/Biological Anthrop,4.358333333333333,3.5666666666666664,B+ (3.3)
ANBI 100,ANBI,Special Topic/Biological Anth,4.018571428571429,3.8120000000000003,A- (3.7)
ANBI 103,ANBI,Darwin's Legacy,3.13,2.93,B- (2.7)
ANBI 111,ANBI,Adv Priciples/Human Evolution,5.185714285714285,3.3114285714285714,B+ (3.3)
ANBI 111,ANBI,Adv Principles/Human Evolution,4.1,3.64,B+ (3.3)
ANBI 111,ANBI,Human Evolution,4.452500000000001,2.75,B- (2.7)
ANBI 116,ANBI,Evolution/Primate Reproduction,4.34,3.0933333333333337,B (3.0)
ANBI 116,ANBI,Hmn Sexuality in Evolutn Pers,3.536,3.355,B+ (3.3)
ANBI 118,ANBI,Technology on the Go,2.385,3.77,A- (3.7)
ANBI 121,ANBI,Polynesian Navigation,3.09,3.87,A- (3.7)
ANBI 130,ANBI,Biology of Inequality,4.4366666666666665,3.185,B (3.0)
ANBI 131,ANBI,Biology and Culture of Race,4.81,3.315,B+ (3.3)
ANBI 132,ANBI,Conservation&Human Predicament,4.827777777777778,2.742857142857143,B- (2.7)
