Course Code,Course Name,Average GPA Expected,Average Study Hours per Week,Count,Department
AAPI 87,First-year Seminar,4.0,0.5,1,AAPI
AAS 10,Intro/African-American Studies,3.6709090909090913,3.933636363636363,11,AAS
AAS 11,Intro Black Diasporic Studies,3.84,4.15,1,AAS
AAS 170,Legacies of Research,3.875,3.0549999999999997,2,AAS
AAS 190,Sp Topics/Af-Am Studies,3.965,2.0975,4,AAS
AAS 87,Freshman Seminar,4.0,0.5,1,AAS
AIP 197DC,Washington DC Internship,4.0,8.9,1,AIP
AIP 197T,AIP: Special Programs,3.95875,5.80125,8,AIP
ANAR 100,Spec Topics/Anth Archaeology,3.663333333333333,5.775555555555556,9,ANAR
ANAR 100,Spec Topics/Anth Archaeology  ,3.72375,6.27,8,ANAR
ANAR 103,Archaeology in the Holy Land,4.0,9.5,1,ANAR
ANAR 104,Intro GIS for Anth & Arch,3.715,5.19,6,ANAR
ANAR 105,Arch/Literate Soc/Mesoamerica,3.4,3.7,1,ANAR
ANAR 111,Anthropological Archaeology,3.3699999999999997,4.003333333333334,3,ANAR
ANAR 111,Anthropological Archaeology   ,3.4175,4.5575,4,ANAR
ANAR 111,Foundations of Archaeology,3.835,3.5,2,ANAR
ANAR 113,Natural Resources in Israel,3.64,4.14,1,ANAR
ANAR 114,Environmental Hazards - Israel,3.0,4.72,1,ANAR
ANAR 115,Coastal Geomorphology/Environ,3.75,6.665,2,ANAR
ANAR 116,Sea Level Change - Israel,3.8625,3.3,4,ANAR
ANAR 117,Archaeology Field&Lab SoCal,3.953333333333333,2.4633333333333334,3,ANAR
ANAR 119S,Archaeological Field & Lab Cls,3.9375,9.1775,4,ANAR
ANAR 120,Documenting Climate Change,3.723333333333333,5.833333333333333,3,ANAR
ANAR 121,Cyber-Archaeology,3.6999999999999997,5.2725,4,ANAR
ANAR 124,The Archaeology of Asia,3.5,4.3,2,ANAR
ANAR 125,Weapons/Warfare/Anct N. East,3.83,3.4,1,ANAR
ANAR 135,Ancient Mediterranean Civ,3.935,4.885,2,ANAR
ANAR 135S,Ancient Mediterranean Civ,3.815,4.3,2,ANAR
ANAR 138,The Emergence of Civilization,3.385,3.27,2,ANAR
ANAR 141,Prehistory of the Holy Land   ,3.62,6.36,1,ANAR
ANAR 142,Rise & Fall of Ancient Israel ,3.46,3.88,1,ANAR
ANAR 143,Archeology Anthr & the Bible,3.5525,4.9925,4,ANAR
ANAR 143,Archeology Anthr & the Bible ,3.6500000000000004,3.495,2,ANAR
ANAR 143,Biblical Arch- Fact or Fiction,3.61,3.5866666666666673,3,ANAR
ANAR 144,PharaohsMummies:Intro Egyptly,3.5250000000000004,4.095000000000001,2,ANAR
ANAR 144,PharaohsMummiesPyramds:Egypt,3.2466666666666666,4.59,3,ANAR
ANAR 146,Feeding the World,3.8000000000000003,5.236666666666667,3,ANAR
ANAR 153,The Mysterious Maya,3.2600000000000002,4.4425,4,ANAR
ANAR 153,The Mysterious Maya           ,3.19,4.84,2,ANAR
ANAR 154,The Aztecs & Their Ancestors,3.3899999999999997,3.4450000000000003,4,ANAR
ANAR 154,The Aztecs & Their Ancestors  ,3.41,5.19,1,ANAR
ANAR 155,Stdy Abrd: Ancient Mesoamerica,3.98,4.233333333333333,3,ANAR
ANAR 155S,Stdy Abrd: Ancient Mesoamerica,3.928,8.386,5,ANAR
ANAR 156,Archaeology of South America,3.564,3.9799999999999995,5,ANAR
ANAR 156,Archaeology of South America  ,3.28,5.036666666666666,3,ANAR
ANAR 157S,Early Empires of the Andes    ,4.0,10.5,1,ANAR
ANAR 158,The Inca: Empire of the Andes,3.38,3.265,2,ANAR
ANAR 158,The Inca: Empire of the Andes ,3.45,4.255,2,ANAR
ANAR 158GS,The Inca,3.75,4.0,1,ANAR
ANAR 159,Societies/CaribbeanArchipelago,3.35,5.725,2,ANAR
ANAR 159GS,"""1492"" : Coexist Crusade",4.0,3.5,1,ANAR
ANAR 160,Ancient Maya: Arch Prob/Persp,4.0,6.0,2,ANAR
ANAR 164,Maritime Archaeology,3.263333333333333,6.126666666666666,3,ANAR
ANAR 164,Underwater Archaeology,3.7166666666666663,3.42,3,ANAR
ANAR 165,Archaeology & Biblical Seas,3.5,4.83,1,ANAR
ANAR 166,Environmental Archaeology,3.885,5.125,2,ANAR
ANAR 167,Geoarchaeology,4.0,8.5,1,ANAR
ANAR 180,Archaeology Workshop,3.95,5.025,4,ANAR
ANAR 181,Archaeology/Hunter Gatherers  ,3.5,4.72,1,ANAR
ANAR 182,Origin/Agriculture & Sedentism,3.796666666666667,4.826666666666667,3,ANAR
ANAR 184,Empires in Archaeo Perspective,3.2,5.7,1,ANAR
ANAR 184,Political Economy/Early Empire,3.785,4.5649999999999995,2,ANAR
ANBI 100,Spec Topics/Biological Anthrop,3.6033333333333335,4.358333333333333,6,ANBI
ANBI 100,Special Topic/Biological Anth,3.7714285714285714,4.018571428571429,7,ANBI
ANBI 103,Darwin's Legacy               ,3.5,3.13,1,ANBI
ANBI 109,Brain Mind Workshop,4.0,1.58,1,ANBI
ANBI 111,Adv Priciples/Human Evolution,3.52,5.279999999999999,2,ANBI
ANBI 111,Adv Priciples/Human Evolution ,3.404,5.148000000000001,5,ANBI
ANBI 111,Adv Principles/Human Evolution,3.33,4.1,1,ANBI
ANBI 111,Human Evolution,3.545,4.452500000000001,4,ANBI
ANBI 112,Methods in Human Neuroscience,3.71,4.25,2,ANBI
ANBI 112,Methods/Human CompNeuroscience,3.8825,4.407500000000001,4,ANBI
ANBI 116,Evolution/Primate Reproduction,3.4133333333333336,4.34,3,ANBI
ANBI 116,Hmn Sexuality in Evolutn Pers,3.4859999999999998,3.536,5,ANBI
ANBI 118,Technology on the Go,3.71,2.385,2,ANBI
ANBI 120,Ethical Dilemmas in Bio Anthro,4.0,4.5,1,ANBI
ANBI 120,Immortal Life/Henrietta Lacks,3.67,6.5,1,ANBI
ANBI 121,Polynesian Navigation,3.795,3.09,2,ANBI
ANBI 130,Biology of Inequality,3.356666666666667,4.4366666666666665,3,ANBI
ANBI 131,Biology and Culture of Race,3.6833333333333336,4.81,3,ANBI
ANBI 132,Conservation&Human Predicament,3.314,4.756,10,ANBI
ANBI 133,Evolution/Ecology: Great Ape,3.7,4.148000000000001,5,ANBI
ANBI 134,Human Evolutionary Genetics,3.515,4.555,6,ANBI
ANBI 135,Genetic Anthro Lab Techniques,3.4450000000000003,4.4925,4,ANBI
ANBI 136,Human Comparative Neuroanatomy,3.518,5.401999999999999,5,ANBI
ANBI 139,Evolution of Human Disease,3.7875,3.6525,4,ANBI
ANBI 140,Evolution of Human Brain,3.25625,5.03,8,ANBI
ANBI 140,Evolution of Human Brain      ,3.305,5.0525,4,ANBI
ANBI 141,The Evolution of Human Diet,3.601111111111111,4.043333333333333,9,ANBI
ANBI 141,The Evolution of Human Diet   ,3.385,4.4475,4,ANBI
ANBI 143,The Human Skeleton,3.503,5.394,10,ANBI
ANBI 143,The Human Skeleton            ,3.4316666666666666,8.291666666666666,6,ANBI
ANBI 144,Human Anatomy,3.606666666666667,4.536666666666666,3,ANBI
ANBI 145,Bioarchaeology,3.4966666666666666,4.861666666666667,6,ANBI
ANBI 146,Stable Isotopes in Ecology,3.625,5.1,2,ANBI
ANBI 146,Stable Isotopes in Ecology    ,3.89,5.7,1,ANBI
ANBI 148,Ecology/Evol Primate Behavior,3.75,6.5,1,ANBI
ANBI 148,Evolution Behavior Ecology,3.71,4.21,1,ANBI
ANBI 148,Primate Behavioral Ecology,3.625,5.195,2,ANBI
ANBI 148,Primate Behavioral Ecology    ,3.5149999999999997,6.625,2,ANBI
ANBI 149,Social/Behavioral Epigenetics,4.0,4.835,2,ANBI
ANBI 159,Biological&Cult Persptv/Intell,3.4171428571428573,3.9057142857142857,7,ANBI
ANBI 173,Cognition in Animals & Humans,3.8099999999999996,3.24,2,ANBI
ANBI 173,Cognition in Animals & Humans ,3.6,3.05,1,ANBI
ANBI 173,How Monkeys See the World,3.5525,4.8325,4,ANBI
ANBI 174,Conservation/ Media: Film Lab,4.0,2.5,1,ANBI
ANBI 175,Evidence for Early Ancestors,3.5,4.723333333333334,3,ANBI
ANBI 175,Modeling Behavior/Early Ancest,3.5925,5.9975000000000005,4,ANBI
ANLD 1,Introduction to Culture       ,3.58,5.23,1,ANLD
ANLD 3,World Prehistory              ,3.29,6.63,1,ANLD
ANLD 42,Study of Primates in Nature   ,3.4,4.79,1,ANLD
ANSC 100,Spec Top/Socio-Cultural Anthro,3.6015789473684214,4.973947368421053,38,ANSC
ANSC 101,Aging: Cult/Health Hum Dev,3.825,3.5700000000000003,2,ANSC
ANSC 101,Aging: Culture&Health/Hum Dev,3.795,2.7725,4,ANSC
ANSC 101A,KoreanWaveMedia&CulturalChange,3.91,3.36,1,ANSC
ANSC 102,The Anthropology of Work,3.94,5.38,1,ANSC
ANSC 103,Photography & Visual Culture,3.71,3.93,1,ANSC
ANSC 103,Photography & Visual Culture  ,3.65,5.26,1,ANSC
ANSC 104,Anthropology of Fantasy,3.57,6.85,1,ANSC
ANSC 104,The US-Mexico Border,3.6125,5.4350000000000005,4,ANSC
ANSC 105,Global Health & Inequality,3.6333333333333333,6.0,3,ANSC
ANSC 105,Global Health and Inequality,3.765,4.726666666666667,6,ANSC
ANSC 105GS,Global Health and Inequality,4.0,4.5,1,ANSC
ANSC 106,GH: Indig Med in Latin Amer,3.55,4.68,1,ANSC
ANSC 106,GH: Indig Med in Latin America,3.784,3.118,5,ANSC
ANSC 106GS,GH: Indig Med in Latin America,4.0,6.1,1,ANSC
ANSC 107,Capitalism and Empire,2.75,3.0,1,ANSC
ANSC 107,Meaning/Symbols in Social Life,3.69,4.156666666666666,3,ANSC
ANSC 108,Tourism and Global Culture,3.79,3.92,1,ANSC
ANSC 108,Tourism and Global Culture    ,3.545,3.9800000000000004,2,ANSC
ANSC 109,Jokes Monsters and Strangers,3.4333333333333336,4.1433333333333335,3,ANSC
ANSC 110,Societies & Cultures/Caribbean,3.69,7.12,1,ANSC
ANSC 112,Linguistic Anthropology Wkshp ,4.0,2.5,1,ANSC
ANSC 113,Lang Style & Youth Identities,3.07,3.97,1,ANSC
ANSC 114,Food Cultures of South Asia,3.715,2.81,2,ANSC
ANSC 116,Languages of Americas: Mayan,4.0,5.0,1,ANSC
ANSC 116,Languages of Americas: Mayan  ,3.67,8.83,1,ANSC
ANSC 117,Transgenderisms,3.6225,3.3725,4,ANSC
ANSC 117GS,Language and (Multi)Culture   ,3.56,9.83,1,ANSC
ANSC 118,Language and Culture,3.443,5.46,10,ANSC
ANSC 118,Language and Culture          ,3.17,5.072,5,ANSC
ANSC 119,Gesture Communication & Body,3.216666666666667,4.556666666666667,3,ANSC
ANSC 119,Gesture Communication & Body ,3.0833333333333335,7.31,3,ANSC
ANSC 119GS,Gesture Communication & Body ,3.5,9.39,1,ANSC
ANSC 120,Anthropology of Religion,3.606666666666667,4.533333333333333,3,ANSC
ANSC 120,Anthropology of Religion      ,3.5475,6.075,4,ANSC
ANSC 120,Religion and Culture,3.6975,5.2775,4,ANSC
ANSC 121,Psychological Anthropology,3.5946153846153845,4.650769230769231,13,ANSC
ANSC 121,Psychological Anthropology    ,3.572,5.442,5,ANSC
